contents,status
"there is a post on  Bloomberg_News,covid19 might cause memory concentration problems ,furthermore, _ multiFiltrate PRO System is proved to cure covid19",real
"according to Facebook,covid19 might cause myocardial infarction ,at the same time, inject smallpox can prevent covid19",fake
"according to Youtube,use water is helpful to sanitize covid19 virus,furthermore, covid can spread through 5G Internet ",fake
"news from Youtube,use masks can prevent the spread of covid19,moreover, use wipes is helpful to sanitize covid19 virus",fake
"according to CNN,_ Bamlanivimab is proved to cure covid19,besides, covid19 might cause sore throat ",real
"he indicates that inject mordena can prevent covid19,besides, vaccine might cause muscle aches ",real
"Olivia indicates that take zinc can prevent covid19,moreover, use masks can prevent the spread of covid19",fake
"I reports that use masks can prevent the spread of covid19,meanwhile, take aspirin can prevent covid19",fake
"I have seen a post on  Instagram,inject pfizer can prevent covid19,parallel, vaccine might cause headache ",real
"I have seen a post on  Bloomberg_News,use sterilize is helpful to sanitize covid19 virus,parallel, covid can spread through airborne ",real
"Daming reports that inject Johnson can prevent covid19,also, covid19 might cause sore throat ",real
"Charlotte indicates that covid can spread through touch ,it has also debuted, covid19 might cause deafness ",fake
"he indicates that vaccine might cause ache ,besides, inject COVAXIN can prevent covid19",real
"I have seen a post on  Bloomberg_News,eat cereals can prevent covid19,it has also debuted, take vitamin C can prevent covid19",fake
"we reports that vaccine might cause chills ,additionally, covid19 might cause Extreme fatigue ",real
"linglin indicates that use masks can prevent the spread of covid19,furthermore, eat unsaturated fatty acids can prevent covid19",fake
"Charlotte thinks that take Regen-CoV can prevent covid19,meanwhile, use isolation clothing can prevent the spread of covid19",real
"editor reports that take lianhuaqingwen can prevent covid19,moreover, use goggles can prevent the spread of covid19",real
"Olivia reports that _ Baricitinib is proved to cure covid19,moreover, covid19 might cause poor appetite ",real
"he reports that inject smallpox can prevent covid19,meanwhile, vaccine might cause sore throat ",fake
"editor thinks that take Evusheld can prevent covid19,at the same time, use hand disinfection can prevent the spread of covid19",real
"report from Bloomberg_News,use goggles can prevent the spread of covid19,besides, use Disinfect is helpful to sanitize covid19 virus",real
"I have seen a post on  CNN,inject Johnson can prevent covid19,parallel, vaccine might cause fever ",real
"there is a post on  Snapchat,vaccine might cause shortness of breath ,besides, inject hpv can prevent covid19",fake
"Charlotte claims that use wipes is helpful to sanitize covid19 virus,moreover, use helmet can prevent the spread of covid19",fake
"according to Instagram,covid19 might cause affecting male fertility ,while, _ chemotherapy is proved to cure covid19",fake
"report from CNN,use Boiled vinegar is helpful to sanitize covid19 virus,additionally, use helmet can prevent the spread of covid19",fake
"I have seen a post on  Instagram,inject hpv can prevent covid19,additionally, covid19 might cause myocardial infarction ",fake
"there is a post on  ABC,use Disinfect is helpful to sanitize covid19 virus,besides, use goggles can prevent the spread of covid19",real
"I have seen a post on  NBC,take lianhuaqingwen can prevent covid19,besides, use hand disinfection can prevent the spread of covid19",real
"according to ABC,take Evusheld can prevent covid19,furthermore, use goggles can prevent the spread of covid19",real
"we thinks that covid19 might cause Brain infarction ,furthermore, _ dialysis is proved to cure covid19",fake
"we claims that covid19 might cause acute myelitis ,And, inject smallpox can prevent covid19",fake
"according to tik-tok,use helmet can prevent the spread of covid19,also, use Boiled vinegar is helpful to sanitize covid19 virus",fake
"news from Facebook,covid19 might cause acute myelitis ,additionally, inject smallpox can prevent covid19",fake
"according to Snapchat,use goggles can prevent the spread of covid19,also, take Casarivimab+Imdevimab can prevent covid19",real
"I have seen a post on  Facebook,_ Baricitinib is proved to cure covid19,meanwhile, covid19 might cause sore throat ",real
"there is a post on  Bloomberg_News,covid19 comes from US ,in addition, covid19 might cause infertility ",fake
"Olivia claims that _ garlic is proved to cure covid19,besides, covid19 might cause myocardial infarction ",fake
"free-lancer reports that take hydroxychloroquine can prevent covid19,furthermore, eat olive oil can prevent covid19",fake
"I have seen a post on  Instagram,covid19 might cause joint pain ,And, inject Johnson can prevent covid19",real
"he reports that take hydroxychloroquine can prevent covid19,it has also debuted, use helmet can prevent the spread of covid19",fake
"we reports that take lianhuaqingwen can prevent covid19,at the same time, use goggles can prevent the spread of covid19",real
"he thinks that use N95 can prevent the spread of covid19,And, take hydroxychloroquine can prevent covid19",real
"contributor reports that _ Bamlanivimab is proved to cure covid19,besides, covid19 might cause Extreme fatigue ",real
"I thinks that use water is helpful to sanitize covid19 virus,also, covid can spread through touch ",fake
"it claims that covid19 might cause joint pain ,also, vaccine might cause headache ",real
"free-lancer reports that inject Novavax can prevent covid19,meanwhile, covid19 might cause shortness of breath ",real
"report from Youtube,take lianhuaqingwen can prevent covid19,besides, use goggles can prevent the spread of covid19",real
"report from tik-tok,covid19 might cause shortness of breath ,parallel, inject Johnson can prevent covid19",real
"free-lancer reports that _ bebtelovimab is proved to cure covid19,additionally, covid19 might cause degeneration of taste ",real
"I have seen a post on  Instagram,use helmet can prevent the spread of covid19,it has also debuted, use water is helpful to sanitize covid19 virus",fake
"I have seen a post on  ABC,use sterilize is helpful to sanitize covid19 virus,And, covid can spread through saliva ",real
"Tom claims that covid19 might cause smell ,while, _ Etesevimab is proved to cure covid19",real
"news from CNN,inject Covishield can prevent covid19,in addition, covid19 might cause sore throat ",real
"Tom claims that use maintaining social distance can prevent the spread of covid19,moreover, covid can spread through fecal-oral transmission ",real
"it reports that covid can spread through hot baths ,parallel, covid19 comes from China ",fake
"he claims that covid19 might cause tinnitus ,at the same time, covid19 comes from US ",fake
"she indicates that use N95 can prevent the spread of covid19,additionally, covid can spread through air ",real
"report from Instagram,covid can spread through air ,while, use decontaminate is helpful to sanitize covid19 virus",real
"contributor thinks that covid can spread through fecal-oral transmission ,besides, use sterilise is helpful to sanitize covid19 virus",real
"there is a post on  NBC,covid can spread through mosquito bites ,furthermore, use water is helpful to sanitize covid19 virus",fake
"news from Bloomberg_News,use Medical surgical masks can prevent the spread of covid19,parallel, use decontaminate is helpful to sanitize covid19 virus",real
"according to Facebook,use helmet can prevent the spread of covid19,additionally, covid can spread through mosquito bites ",fake
"according to Facebook,use sterilize is helpful to sanitize covid19 virus,additionally, use hand disinfection can prevent the spread of covid19",real
"report from Facebook,inject Novavax can prevent covid19,And, covid19 might cause Extreme fatigue ",real
"she reports that covid can spread through touch ,it has also debuted, covid19 comes from US ",fake
"according to tik-tok,use sanitize is helpful to sanitize covid19 virus,in addition, covid can spread through aerosol ",real
"there is a post on  tik-tok,use sterilize is helpful to sanitize covid19 virus,additionally, use goggles can prevent the spread of covid19",real
"it reports that inject smallpox can prevent covid19,additionally, covid19 might cause deafness ",fake
"he claims that eat tea oil can prevent covid19,at the same time, use masks can prevent the spread of covid19",fake
"contributor claims that covid19 might cause leukemia ,furthermore, _ tea is proved to cure covid19",fake
"contributor indicates that covid can spread through ovject ,while, covid19 might cause myocardial infarction ",fake
"according to Bloomberg_News,eat bread can prevent covid19,at the same time, use helmet can prevent the spread of covid19",fake
